food_alias_id,food_id,alias_name,normalized_alias,alias_type
6ca6e624-ed77-5c44-b268-f7a12cff7197,3d83e8bb-52fd-5fc6-9936-cfafd93bdb56,꿀풀(하고초),꿀풀하고초,INGREDIENT_BASE
a5eb06f5-d30c-539e-9078-e54d40b7fe90,fcef4bd7-076a-534a-9fe5-7c5294586f35,꿩고기,꿩고기,INGREDIENT_BASE
b3dffab0-10e5-523f-9f9e-03e75d673c2a,d0765a9f-67cf-5259-af26-9e7530e737f7,나도팽나무버섯,나도팽나무버섯,INGREDIENT_BASE
20dba0ec-1797-567f-82c3-b8bac63c5862,18c3f462-dabb-57ae-b870-3fa6739bd324,낙지,낙지,INGREDIENT_BASE
4813e240-436b-58a7-90c5-40f0e591e3a5,eaccc57f-f9a4-520f-ac2a-1849150e8987,날개콩,날개콩,INGREDIENT_BASE
2496c84f-0ac0-5566-bcdf-09b538d8c5c9,cfb78e92-bd54-56a0-a221-ab9abf4f0272,날치,날치,INGREDIENT_BASE
6a699267-b553-5c18-a95e-36920818d2d6,f047f09a-ec55-54de-a703-2ee23453e9b5,납지리,납지리,INGREDIENT_BASE
86c58c23-6fb8-5c74-9e07-a4f8cfcabee2,25c34c1e-f980-5a43-aedd-a13b4a2dc8bd,냉이,냉이,INGREDIENT_BASE
7cfb7022-253b-57d8-8ba7-aa74d5f3d3ec,b47eef00-b486-516e-a64c-d9bce90c82fe,넙치(광어),넙치광어,INGREDIENT_BASE
05ee3893-ced0-5ccc-abc6-1355d4284fea,52b13c0c-5b8d-5c26-a986-f093f9c8a2ee,네동가리,네동가리,INGREDIENT_BASE
ca81f1b7-ca90-5583-a91e-a1a14dd3a1f7,ed6328c3-018a-53dd-acee-70b1730cb2ea,노랑촉수,노랑촉수,INGREDIENT_BASE
ecc51fd1-ba9c-5658-bb76-6bc90bc4e62a,2741c973-e856-5bc1-80bf-d7dbf02fd324,노래미,노래미,INGREDIENT_BASE
82e6c27f-391c-554b-a578-41ed947ce8ff,abf14e17-7283-5a73-8463-cd7fdf89cd63,노루궁뎅이버섯,노루궁뎅이버섯,INGREDIENT_BASE
46c4fd7a-2a2a-5163-b076-c910e730dd98,9bacd112-4e5f-58f6-b17f-97c87e5705d3,녹두,녹두,INGREDIENT_BASE
4f43c35b-208b-5ba2-9751-f0e506bca033,0ef75f56-237d-5f9b-b7e3-39c65a4caab5,녹두묵,녹두묵,INGREDIENT_BASE
2d7450d8-2aa2-59ad-8e10-0f0dfc88d992,f1edfb7f-a420-5ba9-b27f-78e198994ac7,놀래기,놀래기,INGREDIENT_BASE
31e3b620-0cc9-5b29-9e5e-128b929cfc3c,2af3d953-a5ea-51c9-82d6-94d80c2c2db6,농어,농어,INGREDIENT_BASE
02a39af0-9205-5348-9cf7-5a071b589f7c,318fd1dc-6a7a-5dbd-b98d-289ea98b702a,누룽지,누룽지,INGREDIENT_BASE
d82d8968-337c-5cd0-a10a-56724c799598,b3a40fd0-581b-5994-b209-4a6602a420e2,누리장나무잎,누리장나무잎,INGREDIENT_BASE
fd9a030b-5b92-5059-89d2-077e44cae7de,68f9ea86-8bd0-5dea-a91c-5dbabfc88072,누치,누치,INGREDIENT_BASE
7d711564-902a-5614-a86c-b44953155af0,c63e6fe1-c7e1-5b7e-aac1-7d958374454c,눈볼대,눈볼대,INGREDIENT_BASE
8f33297c-7ce1-502a-a30e-e4ed6ea78040,b0074e08-80ef-5f1b-9b4c-25499f654bd8,눈퉁멸,눈퉁멸,INGREDIENT_BASE
e3aa98df-377a-52e6-b0e3-0d0deb8fc3e0,461ed13b-5c93-549d-9634-1018eba7d671,느타리버섯,느타리버섯,INGREDIENT_BASE
b80fddb0-4850-5be1-ae2d-2b159f6b63fa,b9f6f5d7-41b1-5210-b127-d886fd82798f,는쟁이냉이,는쟁이냉이,INGREDIENT_BASE
7aa8ea57-4d75-5d85-8979-48d175cf835d,869acaaf-4c3f-5925-b01b-fd8c5ec68fd0,능성어,능성어,INGREDIENT_BASE
eb688619-cece-5da1-b603-d7999c6fef0d,8cc67e50-582e-5cc2-b682-d47af43f427c,능이버섯(향버섯),능이버섯향버섯,INGREDIENT_BASE
01e78888-14d1-526f-b36d-dbd72fed3c4c,0cb12dac-7cf6-50c2-a675-0855c11b7312,다금바리,다금바리,INGREDIENT_BASE
91b313f5-33cf-5038-ad9c-c2d36cf18c4a,e115a52d-3ae1-5256-9631-3233a7b80233,다랑어,다랑어,INGREDIENT_BASE
e7daa8b7-ded5-5ebd-a389-93367a26c89d,3f753843-6ca9-5a6d-a3bf-847606b9d0b1,다래,다래,INGREDIENT_BASE
13fdc2e2-dd1d-512a-89f6-76c29d632bd2,83520bee-7cf7-51ec-8780-473d4a399306,다슬기,다슬기,INGREDIENT_BASE
9e392cda-7330-507f-b8e9-3a5161489544,a0094b06-5edf-50ca-bb6c-8be59cfbd53e,다시마,다시마,INGREDIENT_BASE
0d34bab3-d34a-5267-b9b0-a16f310d5f07,bd6ae90f-6165-57ca-bf69-523a938b2c07,다시마 육수,다시마육수,INGREDIENT_BASE
f2ddddec-6471-5f9d-b1d2-01a43fb91a82,dca2ffe3-0be6-5892-90b2-003cac5d93be,다시마 튀각,다시마튀각,INGREDIENT_BASE
b2016812-fbc0-5a31-96df-bbf68aecfb0b,64cdc4b5-74bb-5ab1-a634-bde1687632ed,다식,다식,INGREDIENT_BASE
6933a54a-cb6f-56d2-8905-eb95a9c8d303,65c259a8-3bb4-539b-a89a-bcf546ea21b0,달강어,달강어,INGREDIENT_BASE
2d0dc860-1fa1-5568-9bae-0d65983e2e06,4f418fd7-db94-5468-aeec-47b94fb781e5,달걀,달걀,INGREDIENT_BASE
7b681f17-e39a-5886-8de6-61ff327db7ab,7abe46e2-859d-5e86-9bbd-816d03221f29,달고기,달고기,INGREDIENT_BASE
bb600517-289f-5b51-bda8-89025d67619e,3048dbeb-f72d-52fe-b2fa-0b9edbe7eaa6,달래,달래,INGREDIENT_BASE
49c5a9d8-09e2-5e32-904c-0134a84a85d9,679ba024-09ec-58ea-8bb3-f073070a578d,닭가슴살,닭가슴살,INGREDIENT_BASE
4ac97252-5961-53a4-99ac-301a39c0a820,0a56457e-1182-543f-a382-32c0097abf6b,닭가슴살 패티,닭가슴살패티,INGREDIENT_BASE
22e30cfa-7005-5274-8370-5b064b59f7f4,43c80150-ad7e-5196-97af-6a05d2425729,닭고기,닭고기,INGREDIENT_BASE
baf851c3-484c-5881-a584-2ba2095bd641,cca060e5-fae8-5663-b4a8-2b51cf39f993,닭꼬치,닭꼬치,INGREDIENT_BASE
581639f1-34eb-5278-8030-c75c84d10754,1f0e33de-22fd-5735-ad68-81355db9c6d5,닭 부산물,닭부산물,INGREDIENT_BASE
4f3d751a-16a5-5eb4-a855-bff5b9c5f104,98e294d9-e8af-5d6a-b0c4-21c1975e45c7,닭뼈 육수,닭뼈육수,INGREDIENT_BASE
22a8911e-af63-5990-a9d7-afb6322e8527,26b7efd3-3cb4-5886-bd19-326f171f60b5,닭 육수,닭육수,INGREDIENT_BASE
c1be681f-85e1-576c-9bce-f1a55fccfb7a,f63d64fc-00c7-5ae7-88cb-335e6685d9b1,담치,담치,INGREDIENT_BASE
1105bdd8-4b26-51a9-a432-a5b0b7f53928,3ad53e41-b130-5d0b-9458-4a36cd91999a,당귀,당귀,INGREDIENT_BASE
2bddbd7d-4945-5553-8745-864c72ce4e4f,f5cde03f-aa89-5743-b247-4fd35bffa46d,당근,당근,INGREDIENT_BASE
1a901e93-45b5-5be6-84ee-c24a6b5553b5,0ca74cbc-59b9-59e1-9840-9309523dc86f,당근즙,당근즙,INGREDIENT_BASE
aba50f30-d932-56d7-b96a-004cb5342d10,b9703207-bcae-5d22-95e8-f6d400905140,당근 착즙,당근착즙,INGREDIENT_BASE
8f570102-2447-5ffe-b901-9bffbb46a3b6,a806000b-8fde-5831-b385-96da2aaa7ee6,당면,당면,INGREDIENT_BASE
d61a31a8-db84-5b23-90fc-ce2a9d32f9a7,87baba08-85a6-58fd-9920-a6ed46d6f79e,대구,대구,INGREDIENT_BASE
a10d0727-5563-5706-a049-ee4418c3aadf,915f075f-b128-5407-8778-73aa0465e8fa,대구 튀김,대구튀김,INGREDIENT_BASE
9e2f67d3-b427-5a09-af19-79ae5f40cde7,2fae7be5-5973-5933-b155-1aad093a8b79,대구횟대,대구횟대,INGREDIENT_BASE
d203714e-5436-548d-9cb8-d5c02e85881c,71645286-a08b-5c61-9b2d-1a45775d7fb2,대두,대두,INGREDIENT_BASE
699b294a-6c18-54ae-8b8c-caaf695c8014,a67a544c-2d86-5787-a85a-6bc3c9eff1c0,대두어(흑연),대두어흑연,INGREDIENT_BASE
b6ebdb19-37d3-5be3-8b6d-f177edb8059f,c300bc48-561f-54b3-b437-513f8988f740,대수리,대수리,INGREDIENT_BASE
d721ab2e-6a2b-53cb-8f59-0e5b1994604e,2a45bf38-d4aa-5075-a561-533752800551,대체식품,대체식품,INGREDIENT_BASE
cd2dab3b-cf47-5983-8191-6fb7cf95d544,69ba47c8-1443-5930-ae7c-ebf986783aac,대추,대추,INGREDIENT_BASE
04d3cad0-b814-5c1f-8de3-41e12c3cd12a,204d541b-5c1f-5982-8acf-cb2b0fdad379,대추야자,대추야자,INGREDIENT_BASE
4c26ba5f-1019-5295-9bf1-35580a70a9e2,c01cc642-f900-5ce5-b205-557c9591e8da,대합,대합,INGREDIENT_BASE
dc627094-3c4e-5101-b4a0-81751a87b732,c18b22e5-9acc-5e9b-98a1-8f7b64f6ae2e,대황,대황,INGREDIENT_BASE
4255e800-f11a-5a62-bda0-8089a00b98a1,b6ec493e-2965-541a-993e-62d1f822a222,더덕,더덕,INGREDIENT_BASE
5a8f0a47-ae15-5fdf-9cfe-0a4ed71579b7,9b61856a-b7a3-56c5-84d5-6e3a26447622,도다리,도다리,INGREDIENT_BASE
c4985482-518b-51d1-a9a0-d4643765e4f7,d8271bff-ca0a-5ee1-86c4-fece94a7e0c8,도도바리,도도바리,INGREDIENT_BASE
d87d158f-a8e7-5566-a60c-d98996fb7c62,81bb2e0a-cd7c-5871-bbf4-7b2f4997dcc7,도라지,도라지,INGREDIENT_BASE
7e805df8-b856-557b-9e8f-fe3957087fa2,859b0527-46de-5c5a-8955-9b004e4b61ca,도루묵,도루묵,INGREDIENT_BASE
f2b699cb-5eda-5b20-ac6d-4b8b9e2bd427,06740428-ea47-53c2-ba75-4241c1abfc1d,도치,도치,INGREDIENT_BASE
